property_id,title,deal_type,city,area,price,currency,price_per_month,bedrooms,bathrooms,size_sqm,floor,total_floors,year_built,features,description,image_url,availability,investment_yield_pct,tags
PROP-001,Modern 2BR Apartment in Floreasca,sale,Bucharest,Floreasca,135000,EUR,,2,1,68,4,8,2019,"parking, balcony, AC, lift, storage",A bright well-maintained 2-bedroom apartment in Floreasca. Renovated kitchen and bathroom. Large south-facing balcony and underground parking included.,https://placehold.co/600x400/e2e8f0/1e40af?text=Floreasca+2BR,available,,modern family quiet-street near-lake
PROP-002,Spacious 3BR Family House in Pipera,sale,Bucharest,Pipera,285000,EUR,,3,2,145,0,2,2015,"garden, garage, fireplace, alarm, solar-panels",Elegant detached family home in a gated community. Large private garden double garage and premium finishes. Walking distance to international schools.,https://placehold.co/600x400/e2e8f0/1e40af?text=Pipera+House,available,,family gated-community garden international-schools
PROP-003,Studio for Rent near Universitate,rent,Bucharest,Universitate,,,550,0,1,38,3,6,2020,"fully-furnished, AC, fiber-internet, washing-machine",Stylish fully-furnished studio in the heart of Bucharest. Steps from Universitate metro. All utilities included in rent.,https://placehold.co/600x400/e2e8f0/1e40af?text=Studio+Universitate,available,,studio furnished central metro young-professional
PROP-004,2BR Rental Apartment in Dorobanti,rent,Bucharest,Dorobanti,,,900,2,1,75,2,4,2017,"semi-furnished, parking, AC, balcony, pets-allowed",Comfortable 2-bedroom apartment for long-term rent. Pets welcome. Quiet street close to Herastrau Park.,https://placehold.co/600x400/e2e8f0/1e40af?text=Dorobanti+2BR,available,,pet-friendly family park semi-furnished
PROP-005,Buy-to-Let Investment Apartment Militari,sale,Bucharest,Militari,85000,EUR,,2,1,58,5,10,2016,"tenant-in-place, parking, lift, storage",Turnkey investment apartment rented at 430 EUR per month. Approximately 6.1 percent gross yield. Tenant happy to stay long-term.,https://placehold.co/600x400/e2e8f0/1e40af?text=Militari+Investment,available,6.1,investment buy-to-let tenant-in-place high-yield
PROP-006,Luxury Penthouse in Aviatorilor,sale,Bucharest,Aviatorilor,420000,EUR,,3,2,185,9,9,2021,"rooftop-terrace, panoramic-views, smart-home, concierge, 2-parking",Stunning penthouse with 360 degree city views. Smart home system private rooftop terrace and exclusive concierge services.,https://placehold.co/600x400/e2e8f0/1e40af?text=Penthouse+Aviatorilor,available,,luxury penthouse panoramic smart-home premium
PROP-007,3BR Family House for Rent in Baneasa,rent,Bucharest,Baneasa,,,1500,3,2,165,0,2,2014,"garden, garage, furnished, alarm, pool-access",Beautifully furnished family home in a gated complex. Private garden large garage and pool access. Near Baneasa shopping and forest.,https://placehold.co/600x400/e2e8f0/1e40af?text=Baneasa+House,available,,family garden pool gated furnished children
PROP-008,Renovated 1BR in Cluj-Napoca Old Town,sale,Cluj-Napoca,Old Town,105000,EUR,,1,1,48,1,3,1930,"fully-renovated, exposed-brick, AC, smart-locks",Charming 1-bedroom apartment in a period building fully renovated. Exposed brick walls modern kitchen and smart home features.,https://placehold.co/600x400/e2e8f0/1e40af?text=Cluj+Old+Town,available,5.4,charming central renovated period-building investment
PROP-009,6-Unit Investment Building Timisoara,sale,Timisoara,Fabric,320000,EUR,,6,4,320,0,3,2010,"6-units, all-tenanted, lift, secure-entry",A 6-unit residential building in the Fabric district of Timisoara. All units tenanted generating 1800 EUR per month combined.,https://placehold.co/600x400/e2e8f0/1e40af?text=Timisoara+Block,available,6.75,portfolio multi-unit fully-tenanted Timisoara high-yield
PROP-010,1BR Rental near Politehnica Metro,rent,Bucharest,Politehnica,,,450,1,1,45,6,10,2012,"semi-furnished, AC, lift, intercom, metro-5min",Clean 1-bedroom apartment near Politehnica metro. Ideal for students or working professionals. Good light and city views.,https://placehold.co/600x400/e2e8f0/1e40af?text=Politehnica+1BR,available,,student professional metro affordable good-value
